8;"Nastąpi rozwój systemów eksperckich, zwłaszcza SWD w chmurze. ";;;;;;;;;
;"kod tezy:";;;;;;;;;
"8.1";"Ilość użytkowników telefonii mobilnej (w mln) korzystających z mobilnych SWD (świat)";;;;;;;;;
;"kod pytania:";"Q";;;;;;;;
;"jednostka:";"mln";;;;;;;;
;"sposób analizy:";;;;;;;;;
;"id użytkownika";"Współczynnik kompetencji";"Współczynnik samooceny";"Stan obecny";"Stan w roku 2015";"Stan w roku 2020";"Stan w roku 2025";"Dalszy rozwój do roku 2030";"Uwagi";"Stopień pewności"
"8.3";284;0,8;0,2;"n/a";5;10;20;30;"Wzrost liczby obszarów zastosowań mobilnych swd i ogólny rozwój mobilnych systemów informacyjnych spowoduje wzrost liczby użytkowników";"wyrażam tylko swój subiektywny pogląd"
"8.3";315;0,6;0,75;"n/a";60;70;75;80;"Nie jestem specjalistą w dziedzinie telefonii mobilnej";"wyrażam tylko swój subiektywny pogląd"
"8.3";344;1;0,5;"n/a";5;5;10;10;;"wyrażam tylko swój subiektywny pogląd"
"8.3";347;0,5;0,2;"n/a";15;45;75;85;"""W Polsce również będzie miał miejsce dynamiczny wzrost zastosowania mobilnych SWD, jednak tempo wzrostu będzie nieco wolniejsze w porównaniu do wzrostu w skali światowej ze względu na sytuację ekonomiczną kraju""";"z dużym prawdopodobieństwem"
"8.3";353;0,5;0,2;"n/a";5;20;45;65;;"wyrażam tylko swój subiektywny pogląd"
"8.3";354;0,5;0,2;"n/a";3;5;20;35;"najczęściej będzie to dotyczyło osób młodych do celów rozrywkowych";"wyrażam tylko swój subiektywny pogląd"
"8.3";361;0,6;0,2;"n/a";65;65;70;65;;"wyrażam tylko swój subiektywny pogląd"
"8.3";363;0,5;0,2;"n/a";1;2;2;3;;"wyrażam tylko swój subiektywny pogląd"
"8.3";364;0,6;0,2;"n/a";1;3;5;10;"oszacowanie własne na podstawie ogólnej wiedzy";"wyrażam tylko swój subiektywny pogląd"
"8.3";367;0,7;0,2;"n/a";5;5;15;15;"opinia własna";"wyrażam tylko swój subiektywny pogląd"
"8.3";398;0,1;0,2;"n/a";1;2;5;10;;"wyrażam tylko swój subiektywny pogląd"
"8.3";407;0,5;0,2;"n/a";2;5;5;5;"Ze względu na stosunkowo niewielkie środki finansowe przeznaczane na badania Polska będzie zapewne mało znaczącym odbiorcą innowacyjnych rozwiązań, w większym stopniu mogą one zostać importowane przez zachodnie koncerny działające w Polsce.";"wyrażam tylko swój subiektywny pogląd"
"8.3";413;0,5;0,2;"n/a";20;20;30;35;"W Polsce ta liczba może być trochę mniejsza ale myślę że pod tym względem nie odstajemy.";"wyrażam tylko swój subiektywny pogląd"
"8.3";415;0,5;0,2;"n/a";2;4;5;10;"mobilne SWD są z pewnością drogimi systemami, a korzyści z ich stosowania niekoniecznie widoczne na pierwszy rzut oka, dlatego będą się powoli rozwijać.";"wyrażam tylko swój subiektywny pogląd"
"8.3";416;0,9;0,2;"n/a";5;20;40;55;"Wydaje mi się, że sytuacja w Polsce mniej więcej odzwierciedla sytuację w krajach OECD.";"wyrażam tylko swój subiektywny pogląd"
"8.3";417;0,01;0,2;"n/a";10;10;15;15;;"wyrażam tylko swój subiektywny pogląd"
"8.3";418;0,5;0,2;"n/a";40;45;50;55;"Sytuacja w Polsce będzie podobna do sytuacji w pozostałych krajach OECD.";"wyrażam tylko swój subiektywny pogląd"
"8.3";421;0,5;0,2;"n/a";1;5;15;35;"Przypuszczalnie wskaźniki w tej kategorii w Polsce będą zachowywać się bardzo podobnie jak w skali globalnej.";"wyrażam tylko swój subiektywny pogląd"
"8.3";423;0,6;0,2;"n/a";5;10;10;15;"Uważam, że Polska nie będzie odbiegać od trendu krajów OECD, ponieważ mobilne SWD wydają się opcją bardziej dostępną dla zwykłych użytkowników. Biorąc pod uwagę sposób rozpowszechniania aplikacji mobilnych (AppStore, Google Play, Windows Market), nie widać większych barier w globalnym ich rozprowadzaniu.";"wyrażam tylko swój subiektywny pogląd"
"8.3";452;0,5;0,2;"n/a";1;5;15;25;"Objaśnienie zgodne z pkt. 8.2";"jestem raczej pewnien (pewna)"
"8.3";462;0,5;0,4;"n/a";5;10;10;15;"Średnia liczba użytkowników może być niższa, jednak tak jak w przypadku świata trend będzie rosnący.";"wyrażam tylko swój subiektywny pogląd"
"8.3";465;0,5;0,2;"n/a";4;10;15;20;"jak wyżej.";"wyrażam tylko swój subiektywny pogląd"
"8.3";494;0,8;0,5;"n/a";20;25;30;40;"Polski rynek telefonii komórkowej cechuje podobna sytuacji jak rynki zagraniczne. Jednakże wydaje się, że na rynku polskim przewagę będą mieć aplikacje związane z bankowością lub handlem.";"wyrażam tylko swój subiektywny pogląd"
"8.3";506;0,7;0,2;"n/a";1;3;5;10;"mhealthsummit.org";"wyrażam tylko swój subiektywny pogląd"
